state,cluster,county,total_pop,fips,white,black,asian,hispanic,area,lon,lat,votes_gop,votes_dem,total_votes,median_income,pop25,no_hs,some_hs,hs,some_college,associates,bachelors,graduate,never,rarely,sometimes,frequently,always,pop_density,per_white,per_black,per_asian,per_hispanic,per_total_votes,per_votes_gop,per_votes_dem,per_no_hs,per_some_hs,per_hs,per_some_college,per_associates,per_bachelors,per_graduate,edu,mask,per_gop,gop
Arkansas,0,Arkansas-Ashley-Bradley-Calhoun-Chicot-Clark-Cleveland-Dallas-Desha-Drew-Faulkner-Garland-Grant-Hot Spring-Jefferson-Lee-Lincoln-Lonoke-Monroe-Ouachita-Phillips-Prairie-St. Francis-Saline-Union-White-Woodruff,896634.0,05001-05003-05011-05013-05017-05019-05025-05039-05041-05043-05045-05051-05053-05059-05069-05077-05079-05085-05095-05103-05107-05117-05123-05125-05139-05145-05147,647311.0,182069.0,7349.0,39953.0,19645.256,-91.96941,34.199493,213519.0,114374.0,342698.0,46401.942055509826,605710.0,25071.0,55504.0,216856.0,138988.0,45818.0,79924.0,43549.0,0.06046056,0.062237818,0.12867196,0.25217298,0.49632722,45.64124826972479,0.7219344793973906,0.20305832703198853,0.008196209378631638,0.044558872405016985,0.382205002264023,0.62305295,0.33374575,0.0413910947483119,0.09163461062224497,0.3580195142890162,0.22946294431328523,0.07564345974146043,0.13195093361509633,0.07189744267058493,2.889775635204966,3.0614095,0.651185,1
Arkansas,1,Baxter-Boone-Carroll-Cleburne-Conway-Crawford-Franklin-Johnson-Logan-Madison-Marion-Montgomery-Newton-Perry-Polk-Pope-Scott-Searcy-Sebastian-Stone-Van Buren-Yell,623406.0,05005-05009-05015-05023-05029-05033-05047-05071-05083-05087-05089-05097-05101-05105-05113-05115-05127-05129-05131-05137-05141-05149,520148.0,16470.0,11301.0,52757.0,15038.95,-93.30085,35.489872,170335.0,54124.0,235488.0,41778.553291113654,428010.0,25004.0,42926.0,159432.0,98798.0,30699.0,46773.0,24378.0,0.11762787,0.112764396,0.14662203,0.20193757,0.42118725,41.4527604589255,0.8343647638938348,0.026419379986718127,0.01812783322585923,0.08462703278441337,0.37774419880463134,0.72332776,0.22983761,0.05841919581318193,0.10029204925118572,0.37249596972033366,0.23083105534917409,0.07172495969720334,0.10928015700567743,0.05695661316324385,2.7128174575360386,2.6965702,0.7588691,1
Arkansas,2,Clay-Craighead-Crittenden-Cross-Fulton-Greene-Independence-Izard-Jackson-Lawrence-Mississippi-Poinsett-Randolph-Sharp,431217.0,05021-05031-05035-05037-05049-05055-05063-05065-05067-05075-05093-05111-05121-05135,332661.0,69881.0,2949.0,16410.0,9250.38,-90.93743,35.882557,93618.0,44190.0,144083.0,41319.9727654522,286716.0,16237.0,27684.0,109402.0,63833.0,19987.0,31871.0,17702.0,0.07714664,0.11093798,0.14242797,0.28835437,0.38116822,46.61613960321942,0.7714468585422188,0.16205529930406268,0.006838784185224609,0.03805508595440347,0.3341310755373745,0.6497505,0.30669823,0.05663095188269926,0.09655547649939313,0.3815692183205681,0.22263494189372063,0.06971009640201453,0.11115877732669262,0.06174053767491176,2.732676237112683,2.7855299,0.6793365,1
Arkansas,3,Benton-Washington,518328.0,05007-05143,371146.0,13272.0,17359.0,88629.0,1789.323,-94.23318,36.1477,101169.0,60190.0,172415.0,57444.310367180624,307001.0,18926.0,21965.0,85477.0,63120.0,17348.0,63693.0,36472.0,0.05931144,0.031231249,0.091306254,0.17199793,0.6466917,289.67827528387994,0.7160446666975352,0.025605408158540538,0.033490376749857234,0.1709901838218271,0.3326368631445725,0.5867761,0.34909955,0.06164800766121283,0.07154699821824685,0.2784258031732796,0.2056019361500451,0.0565079592574617,0.20746837958182546,0.11880091595792848,3.2213836437014867,3.3166044,0.62698084,1
Arkansas,4,Columbia-Hempstead-Howard-Lafayette-Little River-Miller-Nevada-Pike-Sevier,156308.0,05027-05057-05061-05073-05081-05091-05099-05109-05133,100295.0,36480.0,875.0,14389.0,5551.807,-93.731476,33.666264,38081.0,16474.0,56203.0,40312.62087673056,105726.0,6178.0,11093.0,40412.0,24430.0,7080.0,10898.0,5635.0,0.110102855,0.09088978,0.10954181,0.20255584,0.48720974,28.15443627105863,0.6416498195869693,0.23338536735163906,0.005597922051334544,0.09205542902474602,0.35956572920132046,0.6775617,0.29311603,0.058434065414373,0.10492215727446418,0.3822333200915574,0.23106898965249797,0.06696555246580785,0.1030777670582449,0.05329814804305469,2.665635699827857,2.8664799,0.6980295,1
Arkansas,5,Pulaski,391911.0,05119,202287.0,147037.0,8755.0,24493.0,759.763,-92.31511,34.77335,61182.0,89377.0,157728.0,50093.0,266144.0,8968.0,16473.0,69644.0,62195.0,18138.0,55561.0,35165.0,0.028,0.027,0.126,0.175,0.644,515.833226608993,0.5161554536616731,0.3751795688306784,0.022339255596296098,0.06249633207539467,0.40245872149544154,0.3878956,0.5666527,0.03369604424672358,0.061895064326079115,0.2616778886617771,0.23368928099074185,0.06815107610917398,0.20876292533365395,0.13212772033185044,3.395503937717927,3.38,0.4063656,0
California,0,Alameda,1671329.0,06001,512134.0,169954.0,529698.0,373055.0,739.017,-121.884895,37.643356,91189.0,486351.0,613195.0,92574.0,1156404.0,72042.0,67192.0,203838.0,207018.0,74613.0,305740.0,225961.0,0.019,0.008,0.055,0.123,0.795,2261.556817837382,0.30642321170756925,0.10168793816178621,0.3169322138250458,0.2232085962727865,0.3668906600675271,0.14871126,0.7931425,0.06229829713491133,0.05810426114057025,0.17626884721948385,0.17901875123226832,0.06452156858675688,0.26438857008450334,0.19539970460150605,3.700125561654924,3.667,0.1578921,0
California,1,Alpine,1129.0,06003,692.0,4.0,18.0,139.0,738.332,-119.821,38.59933,211.0,318.0,575.0,64688.0,784.0,25.0,62.0,225.0,205.0,32.0,149.0,86.0,0.025,0.085,0.088,0.19,0.612,1.5291224619075856,0.6129317980513729,0.00354295837023915,0.015943312666076175,0.12311780336581045,0.5093002657218778,0.36695653,0.5530435,0.03188775510204082,0.07908163265306123,0.2869897959183674,0.2614795918367347,0.04081632653061224,0.19005102040816327,0.1096938775510204,3.2091836734693877,3.2789998,0.3988658,0
California,2,Amador,39752.0,06005,30742.0,994.0,575.0,5753.0,594.583,-120.64823,38.447205,10239.0,5904.0,17186.0,61198.0,29520.0,727.0,2137.0,8461.0,8751.0,3447.0,3910.0,2087.0,0.045,0.013,0.099,0.188,0.655,66.85693919550367,0.7733447373717046,0.025005031193399075,0.0144646810223385,0.1447222781243711,0.4323304487824512,0.5957756,0.34353542,0.02462737127371274,0.07239159891598916,0.28661924119241194,0.2964430894308943,0.11676829268292684,0.13245257452574527,0.07069783197831979,3.0884823848238487,3.395,0.6342687,1
California,3,Butte,219186.0,06007,155415.0,3526.0,10573.0,37731.0,1636.464,-121.59797,39.66955,42193.0,38676.0,87847.0,48443.0,147890.0,5732.0,10091.0,33611.0,44001.0,15195.0,25926.0,13334.0,0.015,0.043,0.111,0.204,0.626,133.93878596705798,0.7090553228764611,0.016086793864571642,0.04823756991778672,0.17214146888943638,0.4007874590530417,0.480301,0.44026545,0.03875853675028738,0.06823314625735344,0.22727026844276152,0.2975251876394618,0.10274528365677192,0.17530597065386436,0.09016160659949962,3.243829873554669,3.381,0.521745,1
California,4,Calaveras,45905.0,06009,36672.0,420.0,719.0,5967.0,1020.012,-120.5519,38.20452,13072.0,7738.0,22334.0,58151.0,34602.0,1152.0,2180.0,9557.0,11000.0,4239.0,4386.0,2088.0,0.045,0.019,0.098,0.276,0.562,45.00437144193917,0.7988672257923973,0.009149330138329158,0.01566278183204444,0.12998584032240496,0.4865265221653415,0.585296,0.34646726,0.03329287324432114,0.06300213860470492,0.2761979076353968,0.31790069938153864,0.12250736951621294,0.1267556788624935,0.06034333275533206,3.0549679209294265,3.291,0.6281595,1
California,5,Colusa,21547.0,06011,7344.0,220.0,266.0,13018.0,1150.731,-122.237656,39.178387,3551.0,2659.0,6594.0,56704.0,13634.0,2681.0,1493.0,3225.0,2814.0,1318.0,1571.0,532.0,0.027,0.031,0.092,0.151,0.7,18.724620093291584,0.3408363113194412,0.010210238084188054,0.012345106047245556,0.6041676335452731,0.3060286814869819,0.53851986,0.4032454,0.19664075106351767,0.1095056476455919,0.23654100044007628,0.20639577526771308,0.09667008948217691,0.11522663928414259,0.03902009681678158,2.398709109578994,3.468,0.57181966,1
California,6,Contra Costa,1153526.0,06013,492393.0,100798.0,204045.0,300420.0,715.937,-121.93039,37.918716,105819.0,286658.0,415972.0,93712.0,777519.0,44759.0,37815.0,136610.0,169705.0,64293.0,203101.0,121236.0,0.018,0.016,0.039,0.121,0.806,1611.2115746477893,0.4268590391547308,0.08738251240110756,0.17688808054608218,0.26043626238160217,0.36060912367818326,0.25438973,0.6891281,0.05756643889088241,0.048635467429091764,0.17569988643364343,0.21826476266174846,0.082689940695983,0.2612167676931368,0.1559267361955142,3.627233546704325,3.681,0.26961833,0
California,7,Del Norte,27812.0,06015,17236.0,917.0,802.0,5596.0,1006.373,-123.89894,41.743866,5134.0,3485.0,9361.0,45258.0,19437.0,865.0,2819.0,6131.0,5229.0,1611.0,1619.0,1163.0,0.01,0.135,0.112,0.196,0.547,27.635876947541654,0.6197324895728462,0.032971379260750756,0.0288364734646915,0.2012081116065008,0.33658133179922334,0.5484457,0.3722893,0.04450275248237897,0.14503266965066625,0.3154293358028502,0.2690229973761383,0.08288316098163297,0.08329474713175902,0.059834336574574265,2.689972732417554,3.135,0.59566075,1
California,8,El Dorado,192843.0,06017,148903.0,1696.0,8974.0,25378.0,1707.883,-120.528076,38.77988,47633.0,35243.0,89228.0,80582.0,134716.0,3134.0,6165.0,28621.0,36552.0,14847.0,29222.0,16175.0,0.028,0.042,0.072,0.183,0.675,112.91346866530702,0.7721462536882334,0.00879471902013555,0.04653526443791063,0.13159928024351417,0.4626976348635937,0.5338347,0.3949769,0.023263754862080228,0.04576293832952285,0.2124543484070192,0.271326345794115,0.11020962617654918,0.21691558537961342,0.12006740105110009,3.5304715104367705,3.435,0.57475024,1
California,9,Fresno,999101.0,06019,286049.0,46274.0,103430.0,537180.0,5957.991,-119.65128,36.757355,113949.0,123660.0,250264.0,51261.0,596505.0,84595.0,62794.0,136851.0,138098.0,50760.0,82089.0,41318.0,0.021,0.022,0.059,0.156,0.741,167.69091538199663,0.28630638944411024,0.046315637758344755,0.10352306723744646,0.5376633593600647,0.25048918978161366,0.45531517,0.4941182,0.1418177550900663,0.10526986362226637,0.229421379535796,0.23151189009312578,0.08509568234968692,0.13761661679281817,0.06926681251624044,2.7027149814335165,3.572,0.47956517,0
California,10,Glenn,28393.0,06021,14334.0,240.0,752.0,12079.0,1313.947,-122.387794,39.597107,5788.0,3065.0,9379.0,47395.0,17924.0,2467.0,1959.0,5058.0,4416.0,1540.0,1947.0,537.0,0.028,0.026,0.146,0.206,0.594,21.608938211164887,0.5048427429295953,0.008452787658930018,0.026485401331314055,0.425421758884232,0.3303278977212693,0.61712337,0.3267939,0.1376366882392323,0.10929480026779737,0.28219147511716136,0.24637357732648962,0.08591832180316894,0.1086253068511493,0.029959830395001115,2.479357286320018,3.3119998,0.6537897,1
