fips,median_income,county,state
08009,37500.0,Baca,Colorado
08011,34392.0,Bent,Colorado
08013,78642.0,Boulder,Colorado
08014,89624.0,Broomfield,Colorado
08015,54580.0,Chaffee,Colorado
08017,55227.0,Cheyenne,Colorado
08019,69936.0,Clear Creek,Colorado
08021,34746.0,Conejos,Colorado
08023,30593.0,Costilla,Colorado
08025,37586.0,Crowley,Colorado
08027,44644.0,Custer,Colorado
08029,44512.0,Delta,Colorado
08031,63793.0,Denver,Colorado
08033,41714.0,Dolores,Colorado
08035,115314.0,Douglas,Colorado
08037,84685.0,Eagle,Colorado
08039,96658.0,Elbert,Colorado
08041,65334.0,El Paso,Colorado
08043,46296.0,Fremont,Colorado
08045,72898.0,Garfield,Colorado
08047,75120.0,Gilpin,Colorado
08049,70469.0,Grand,Colorado
08051,54979.0,Gunnison,Colorado
08053,52188.0,Hinsdale,Colorado
08055,36705.0,Huerfano,Colorado
08057,48828.0,Jackson,Colorado
08059,78943.0,Jefferson,Colorado
08061,39784.0,Kiowa,Colorado
08063,51046.0,Kit Carson,Colorado
08065,46918.0,Lake,Colorado
08067,64372.0,La Plata,Colorado
08069,67664.0,Larimer,Colorado
08071,41945.0,Las Animas,Colorado
08073,49423.0,Lincoln,Colorado
08075,48922.0,Logan,Colorado
08077,53683.0,Mesa,Colorado
08079,61058.0,Mineral,Colorado
08081,52807.0,Moffat,Colorado
08083,46797.0,Montezuma,Colorado
08085,48739.0,Montrose,Colorado
08087,51626.0,Morgan,Colorado
08089,34136.0,Otero,Colorado
08091,62230.0,Ouray,Colorado
08093,66861.0,Park,Colorado
08095,50724.0,Phillips,Colorado
08097,71244.0,Pitkin,Colorado
08099,40097.0,Prowers,Colorado
08101,44634.0,Pueblo,Colorado
08103,55543.0,Rio Blanco,Colorado
08105,38639.0,Rio Grande,Colorado
08107,74273.0,Routt,Colorado
08109,34410.0,Saguache,Colorado
08111,46563.0,San Juan,Colorado
08113,64478.0,San Miguel,Colorado
08115,45188.0,Sedgwick,Colorado
08117,77589.0,Summit,Colorado
08119,65382.0,Teller,Colorado
08121,49375.0,Washington,Colorado
08123,70908.0,Weld,Colorado
08125,48394.0,Yuma,Colorado
09001,92969.0,Fairfield,Connecticut
09003,72321.0,Hartford,Connecticut
09005,78314.0,Litchfield,Connecticut
09007,84761.0,Middlesex,Connecticut
09009,67128.0,New Haven,Connecticut
09011,71368.0,New London,Connecticut
09013,84916.0,Tolland,Connecticut
09015,64774.0,Windham,Connecticut
10001,58775.0,Kent,Delaware
10003,70996.0,New Castle,Delaware
10005,60853.0,Sussex,Delaware
11001,82604.0,District of Columbia,District of Columbia
12001,49078.0,Alachua,Florida
12003,61769.0,Baker,Florida
12005,51829.0,Bay,Florida
12007,46197.0,Bradford,Florida
12009,54359.0,Brevard,Florida
12011,57333.0,Broward,Florida
12013,38609.0,Calhoun,Florida
12015,49225.0,Charlotte,Florida
12017,41424.0,Citrus,Florida
12019,62653.0,Clay,Florida
12021,65675.0,Collier,Florida
12023,44491.0,Columbia,Florida
12027,35057.0,DeSoto,Florida
12029,38237.0,Dixie,Florida
12031,53473.0,Duval,Florida
12033,49286.0,Escambia,Florida
12035,53872.0,Flagler,Florida
12037,42855.0,Franklin,Florida
12039,40922.0,Gadsden,Florida
12041,42357.0,Gilchrist,Florida
12043,39879.0,Glades,Florida
12045,44291.0,Gulf,Florida
12047,34583.0,Hamilton,Florida
12049,37594.0,Hardee,Florida
12051,40728.0,Hendry,Florida
12053,46030.0,Hernando,Florida
12055,37314.0,Highlands,Florida
12057,56137.0,Hillsborough,Florida
12059,38608.0,Holmes,Florida
12061,52336.0,Indian River,Florida
12063,39002.0,Jackson,Florida
12065,48173.0,Jefferson,Florida
12067,39543.0,Lafayette,Florida
12069,51884.0,Lake,Florida
12071,54691.0,Lee,Florida
12073,51201.0,Leon,Florida
12075,37634.0,Levy,Florida
12077,37363.0,Liberty,Florida
12079,35509.0,Madison,Florida
12081,56036.0,Manatee,Florida
12083,43361.0,Marion,Florida
12085,57959.0,Martin,Florida
12086,48982.0,Miami-Dade,Florida
12087,67023.0,Monroe,Florida
12089,66297.0,Nassau,Florida
12091,62048.0,Okaloosa,Florida
12093,40367.0,Okeechobee,Florida
12095,54335.0,Orange,Florida
12097,50063.0,Osceola,Florida
12099,59943.0,Palm Beach,Florida
12101,50417.0,Pasco,Florida
12103,51454.0,Pinellas,Florida
12105,48500.0,Polk,Florida
12107,35649.0,Putnam,Florida
12109,77323.0,St. Johns,Florida
12111,49373.0,St. Lucie,Florida
12113,66242.0,Santa Rosa,Florida
12115,58644.0,Sarasota,Florida
12117,63760.0,Seminole,Florida
12119,55228.0,Sumter,Florida
12121,42686.0,Suwannee,Florida
12123,36934.0,Taylor,Florida
12125,41770.0,Union,Florida
12127,46760.0,Volusia,Florida
12129,62778.0,Wakulla,Florida
12131,53785.0,Walton,Florida
12133,37188.0,Washington,Florida
13001,39561.0,Appling,Georgia
13003,34877.0,Atkinson,Georgia
13005,36964.0,Bacon,Georgia
13007,37188.0,Baker,Georgia
13009,39426.0,Baldwin,Georgia
13011,45373.0,Banks,Georgia
13013,57348.0,Barrow,Georgia
13015,55452.0,Bartow,Georgia
13017,32705.0,Ben Hill,Georgia
13019,37163.0,Berrien,Georgia
13021,39931.0,Bibb,Georgia
13023,45029.0,Bleckley,Georgia
13025,37031.0,Brantley,Georgia
13027,34322.0,Brooks,Georgia
13029,71322.0,Bryan,Georgia
13031,41789.0,Bulloch,Georgia
13033,42773.0,Burke,Georgia
13035,41845.0,Butts,Georgia
13037,31725.0,Calhoun,Georgia
13039,56397.0,Camden,Georgia
13043,32937.0,Candler,Georgia
13045,49608.0,Carroll,Georgia
13047,55125.0,Catoosa,Georgia
13049,40283.0,Charlton,Georgia
13051,54911.0,Chatham,Georgia
13053,46453.0,Chattahoochee,Georgia
13055,36107.0,Chattooga,Georgia
13057,79670.0,Cherokee,Georgia
13059,36889.0,Clarke,Georgia
13061,25000.0,Clay,Georgia
13063,45778.0,Clayton,Georgia
13065,25236.0,Clinch,Georgia
13067,75153.0,Cobb,Georgia
13069,38266.0,Coffee,Georgia
13071,35472.0,Colquitt,Georgia
13073,76938.0,Columbia,Georgia
13075,38408.0,Cook,Georgia
13077,70717.0,Coweta,Georgia
13079,43257.0,Crawford,Georgia
13081,35096.0,Crisp,Georgia
13083,44471.0,Dade,Georgia
13085,65805.0,Dawson,Georgia
13087,39148.0,Decatur,Georgia
13089,59280.0,DeKalb,Georgia
13091,35757.0,Dodge,Georgia
13093,35629.0,Dooly,Georgia
13095,37633.0,Dougherty,Georgia
13097,62147.0,Douglas,Georgia
13099,31567.0,Early,Georgia
13101,34447.0,Echols,Georgia
13103,65153.0,Effingham,Georgia
13105,37943.0,Elbert,Georgia
13107,34946.0,Emanuel,Georgia
13109,39701.0,Evans,Georgia
13111,45647.0,Fannin,Georgia
13113,87272.0,Fayette,Georgia
13115,46367.0,Floyd,Georgia
13117,101743.0,Forsyth,Georgia
13119,40198.0,Franklin,Georgia
13121,64787.0,Fulton,Georgia
13123,49389.0,Gilmer,Georgia
13125,41686.0,Glascock,Georgia
13127,50672.0,Glynn,Georgia
13129,44313.0,Gordon,Georgia
13131,42348.0,Grady,Georgia
13133,49755.0,Greene,Georgia
13135,67769.0,Gwinnett,Georgia
13137,49140.0,Habersham,Georgia
13139,59898.0,Hall,Georgia
13141,31984.0,Hancock,Georgia
13143,46353.0,Haralson,Georgia
13145,74261.0,Harris,Georgia
13147,41358.0,Hart,Georgia
13149,48094.0,Heard,Georgia
13151,68609.0,Henry,Georgia
13153,58770.0,Houston,Georgia
13155,32339.0,Irwin,Georgia
13157,62495.0,Jackson,Georgia
13159,43284.0,Jasper,Georgia
13161,36531.0,Jeff Davis,Georgia
13163,34300.0,Jefferson,Georgia
13165,27311.0,Jenkins,Georgia
13167,39813.0,Johnson,Georgia
13169,53155.0,Jones,Georgia
13171,41464.0,Lamar,Georgia
13173,39104.0,Lanier,Georgia
13175,37369.0,Laurens,Georgia
13177,65420.0,Lee,Georgia
13179,45959.0,Liberty,Georgia
13181,41014.0,Lincoln,Georgia
13183,55439.0,Long,Georgia
13185,41390.0,Lowndes,Georgia
13187,47488.0,Lumpkin,Georgia
13189,39199.0,McDuffie,Georgia
13191,47114.0,McIntosh,Georgia
13193,31999.0,Macon,Georgia
13195,51701.0,Madison,Georgia
13197,44309.0,Marion,Georgia
13199,36351.0,Meriwether,Georgia
13201,42927.0,Miller,Georgia
13205,37027.0,Mitchell,Georgia
13207,54050.0,Monroe,Georgia
13209,40728.0,Montgomery,Georgia
13211,62530.0,Morgan,Georgia
13213,45238.0,Murray,Georgia
13215,45389.0,Muscogee,Georgia
13217,53309.0,Newton,Georgia
13219,88308.0,Oconee,Georgia
13221,44927.0,Oglethorpe,Georgia
13223,66467.0,Paulding,Georgia
13225,42802.0,Peach,Georgia
13227,64512.0,Pickens,Georgia
13229,44167.0,Pierce,Georgia
13231,58765.0,Pike,Georgia
13233,43491.0,Polk,Georgia
13235,38770.0,Pulaski,Georgia
13237,51245.0,Putnam,Georgia
13239,30000.0,Quitman,Georgia
13241,40902.0,Rabun,Georgia
13243,30914.0,Randolph,Georgia
13245,40644.0,Richmond,Georgia
13247,57049.0,Rockdale,Georgia
13249,41276.0,Schley,Georgia
13251,37588.0,Screven,Georgia
13253,34338.0,Seminole,Georgia
13255,42671.0,Spalding,Georgia
13257,43416.0,Stephens,Georgia
13259,25385.0,Stewart,Georgia
13261,36205.0,Sumter,Georgia
13263,36213.0,Talbot,Georgia
13265,31797.0,Taliaferro,Georgia
13267,38034.0,Tattnall,Georgia
13269,33442.0,Taylor,Georgia
13271,30288.0,Telfair,Georgia
13273,38015.0,Terrell,Georgia
13275,40112.0,Thomas,Georgia
13277,42790.0,Tift,Georgia
13279,36575.0,Toombs,Georgia
13281,43927.0,Towns,Georgia
13283,37606.0,Treutlen,Georgia
13285,43850.0,Troup,Georgia
13287,38341.0,Turner,Georgia
13289,33037.0,Twiggs,Georgia
13291,44978.0,Union,Georgia
13293,36529.0,Upson,Georgia
13295,43650.0,Walker,Georgia
13297,58370.0,Walton,Georgia
13299,39887.0,Ware,Georgia
13301,34730.0,Warren,Georgia
13303,38092.0,Washington,Georgia
13305,44869.0,Wayne,Georgia
13307,35755.0,Webster,Georgia
13309,27626.0,Wheeler,Georgia
13311,46288.0,White,Georgia
13313,46970.0,Whitfield,Georgia
13315,36077.0,Wilcox,Georgia
13317,35106.0,Wilkes,Georgia
13319,37583.0,Wilkinson,Georgia
13321,46076.0,Worth,Georgia
15001,59297.0,Hawaii,Hawaii
15003,82906.0,Honolulu,Hawaii
15005,61875.0,Kalawao,Hawaii
15007,78482.0,Kauai,Hawaii
15009,77117.0,Maui,Hawaii
16001,63137.0,Ada,Idaho
16003,45319.0,Adams,Idaho
16005,49739.0,Bannock,Idaho
16007,54265.0,Bear Lake,Idaho
16009,46507.0,Benewah,Idaho
16011,51288.0,Bingham,Idaho
16013,51968.0,Blaine,Idaho
16015,53942.0,Boise,Idaho
16017,48710.0,Bonner,Idaho
16019,56609.0,Bonneville,Idaho
16021,43507.0,Boundary,Idaho
16023,42250.0,Butte,Idaho
16025,38393.0,Camas,Idaho
16027,49143.0,Canyon,Idaho
16029,59611.0,Caribou,Idaho
16031,50918.0,Cassia,Idaho
16033,35341.0,Clark,Idaho
16035,42348.0,Clearwater,Idaho
16037,39957.0,Custer,Idaho
16039,46715.0,Elmore,Idaho
16041,56613.0,Franklin,Idaho
16043,53311.0,Fremont,Idaho
16045,43001.0,Gem,Idaho
16047,48638.0,Gooding,Idaho
16049,39113.0,Idaho,Idaho
16051,60162.0,Jefferson,Idaho
16053,49306.0,Jerome,Idaho
16055,54457.0,Kootenai,Idaho
16057,45466.0,Latah,Idaho
16059,37921.0,Lemhi,Idaho
16061,41326.0,Lewis,Idaho
16063,48222.0,Lincoln,Idaho
16065,36031.0,Madison,Idaho
16067,50663.0,Minidoka,Idaho
16069,54174.0,Nez Perce,Idaho
16071,51058.0,Oneida,Idaho
16073,40430.0,Owyhee,Idaho
16075,50289.0,Payette,Idaho
16077,49985.0,Power,Idaho
16079,39091.0,Shoshone,Idaho
16081,68818.0,Teton,Idaho
16083,50778.0,Twin Falls,Idaho
16085,55299.0,Valley,Idaho
16087,37206.0,Washington,Idaho
17001,51398.0,Adams,Illinois
