state,cluster,county,total_pop,fips,white,black,asian,hispanic,area,lon,lat,votes_gop,votes_dem,total_votes,median_income,pop25,no_hs,some_hs,hs,some_college,associates,bachelors,graduate,never,rarely,sometimes,frequently,always,pop_density,per_white,per_black,per_asian,per_hispanic,per_total_votes,per_votes_gop,per_votes_dem,education,mask,per_gop
Florida,16,Lafayette-Suwannee-Taylor,74408,12067-12121-12123,55106,10688,474,6492,2275.268,-83.31724574450753,30.078526268865918,23999.0,6619.0,31329.0,40662.894500591334,53203,3116,7718,21641,10359,3662,4458,2249,0.10408069024836039,0.06692897269110848,0.22563028169014085,0.20107972261047197,0.4022803327599183,32.70296070616736,0.7405924094183421,0.14364046876679926,0.006370282765294054,0.08724868293731856,0.421043436189657,0.7660314724376776,0.21127389958185708,2.4906302276187433,2.730550034942479,0.7838199751779998
Florida,17,Leon,293582,12073,164198,92148,10483,19613,666.852,-84.26888367277051,30.46128114377652,53777.0,91936.0,151925.0,51201.0,170031,3594,7225,32510,32708,16269,43915,33810,0.051,0.022,0.071,0.156,0.7,440.2506103303282,0.5592917821937312,0.3138748288382803,0.03570723000728927,0.06680586684469757,0.5174874481405536,0.35397070923152874,0.6051406944215896,3.86917679717228,3.4319999999999995,0.3690610995587216
Florida,18,Alachua,269043,12001,163036,53858,16261,28222,875.02,-82.36048137049484,29.67703144003336,46584.0,75370.0,127827.0,49078.0,159261,4556,7556,34631,27996,16798,34587,33137,0.001,0.024,0.053,0.17,0.7509999999999999,307.47068638431125,0.605984916909193,0.20018361377177626,0.060440152689347056,0.104897730102623,0.47511736042193997,0.36443004998943884,0.589625040093251,3.765862326621081,3.6439999999999997,0.38198009085392853
Florida,19,Osceola,375751,12097,113104,36400,10011,209797,1327.453,-81.14781416277415,28.06175702360426,50252.0,85287.0,139981.0,50063.0,222545,11247,18216,71032,52074,24246,31888,13842,0.024999999999999998,0.022,0.058,0.17600000000000002,0.72,283.06162252072204,0.3010078482825062,0.09687266301353822,0.026642643665618988,0.558340496765145,0.3725366000356619,0.3589915774283653,0.6092755445381873,2.947619582556337,3.546,0.37075675635794864
Florida,20,DeSoto-Glades-Hardee-Highlands-Okeechobee,227138,12027-12043-12049-12055-12093,138053,21870,2425,60359,3866.3739999999993,-81.3755624126374,27.269825467959905,53829.0,26033.0,81914.0,37692.35246414074,159628,15157,17551,64106,29719,10873,14876,7346,0.03488703343341933,0.053056164094074966,0.11624674867261311,0.14793432186600217,0.6474080823111942,58.74703274954778,0.6077934999867922,0.09628507779411635,0.010676328927788394,0.26573712897005347,0.36063538465602407,0.6571404155577801,0.31780892155187146,2.4862054276192147,3.318984956282084,0.6740251934587163
Florida,21,Flagler-Lake-Volusia,1035483,12035-12069-12127,728444,107650,21106,156845,2524.874,-81.40409436503568,29.024210131018645,278455.0,193375.0,487615.0,49367.06231198388,717743,20556,51333,234162,167664,76281,109239,58508,0.04414450551095479,0.06280364815260125,0.08634923122832534,0.18562842171237964,0.6211853309035493,410.11274225961375,0.7034823362624012,0.10396114663398627,0.02038275857739818,0.1514703766261735,0.4709058478024265,0.5710550331716621,0.3965731160854363,3.1000176943557793,3.2771286993605884,0.5901595913782507
Florida,22,Bay-Walton,248776,12005-12131,196086,22675,4936,16432,1796.0839999999998,-85.93698104428877,30.483280453951263,87705.0,28550.0,120710.0,52411.38285043573,176013,4928,12996,53443,44543,17250,28205,14648,0.07303902707656687,0.09441065456474902,0.08076386789722481,0.21450515323021516,0.5372812972312441,138.51022557964995,0.7882030420940926,0.09114625205003699,0.01984114223236968,0.06605138759365856,0.48521561565424315,0.7265760914588684,0.2365172728025847,3.1328595046956758,3.0485790389748204,0.7544191647671068
Florida,23,Broward,1952778,12011,680536,555237,72644,606982,1209.785,-80.48750538011772,26.151690802012148,258521.0,546956.0,822837.0,57333.0,1344708,65021,85104,368264,264965,131894,269898,159562,0.026,0.023,0.043,0.117,0.7909999999999999,1614.1529279996032,0.3484963472550387,0.2843318595354925,0.03720033716070132,0.3108300073024174,0.4213674058187874,0.314182517315094,0.6647197440076225,3.30998625723949,3.6239999999999997,0.3209539192304684
Florida,24,Hendry,42022,12051,13166,4417,336,23259,1152.75,-81.16529700739001,26.553487377090697,6192.0,4610.0,11106.0,40728.0,25285,4905,3759,8806,4079,1657,1175,904,0.046,0.042,0.112,0.15,0.65,36.45369767946215,0.31331207462757604,0.10511160820522583,0.007995811717671697,0.553495787920613,0.2642901337394698,0.5575364667747164,0.4150909418332433,2.038164919912992,3.316,0.5732271801518237
Florida,25,Brevard,601942,12009,444290,60402,15151,65612,1015.664,-80.7309810040454,28.2922071235033,181620.0,119525.0,314337.0,54359.0,426776,9988,24246,122135,94965,50354,77525,47563,0.068,0.073,0.096,0.157,0.607,592.6585957560768,0.7380943678959102,0.10034521598426427,0.025170199122174563,0.10900053493525955,0.5222047971399237,0.5777875337615361,0.3802447691490343,3.345619247567811,3.1639999999999997,0.6030981752976141
Florida,26,Collier-Monroe,459130,12021-12087,287764,30197,6694,128737,2981.6059999999998,-81.25595545753619,25.872092339647516,127182.0,79890.0,212939.0,65892.9324897088,334310,22295,20229,86116,60976,25524,71490,47680,0.03466485744778167,0.019443238298521112,0.05843143771916451,0.2034314377191645,0.6840290288153681,153.9874819141094,0.6267593056432819,0.06577004334284407,0.014579748655065014,0.2803933526452203,0.4637880338901836,0.597269640601299,0.37517786784008567,3.3532200652089377,3.482716542155816,0.6141921650440426
Florida,27,Hillsborough,1471968,12057,701596,235544,63405,436896,1020.2139999999999,-82.31078030985913,27.929792634407285,265928.0,306422.0,595072.0,56137.0,935758,44264,64305,254006,179425,88177,194532,111049,0.023000000000000003,0.031,0.069,0.155,0.722,1442.8031765884414,0.47663807908867584,0.16001978303876171,0.04307498532576795,0.29681080023478773,0.40426965803604425,0.44688373843837387,0.5149326468057647,3.3152310747009377,3.522,0.4646247925220582
Florida,28,Palm Beach,1496770,12099,801351,279405,42513,349584,1969.763,-80.46501815145898,26.647331295558157,270762.0,371411.0,657235.0,59943.0,1054752,61613,62870,258521,202483,92804,234531,141930,0.03,0.02,0.05,0.116,0.7839999999999999,759.8731420988211,0.535386866385617,0.18667196696887298,0.02840316147437482,0.23355893022976143,0.4391022000708192,0.41197136488470637,0.5651114137256841,3.396828828008859,3.6039999999999996,0.4216340456543642
Florida,29,Lee,770577,12071,510000,62344,12870,173497,784.513,-81.83432146716842,26.579218375817835,191141.0,124725.0,325797.0,54691.0,537841,27692,36833,165834,109194,48774,93362,56152,0.052,0.049999999999999996,0.073,0.17600000000000005,0.648,982.2361133594982,0.6618417108218906,0.08090560709701951,0.016701770231917122,0.22515206137738344,0.42279616443262646,0.586687415783448,0.3828304128030645,3.151304939563923,3.3160000000000003,0.6051331893904377
Florida,30,Escambia,318316,12033,203840,72465,10301,18894,656.461,-87.36460248990484,30.66590519252527,88370.0,57114.0,151609.0,49286.0,208585,5065,14042,56941,48670,28703,36293,18871,0.019,0.052000000000000005,0.095,0.31,0.524,484.8970464353556,0.6403699468452733,0.22765113911961699,0.03236092436446801,0.05935611153696327,0.4762845725631134,0.5828809635311888,0.3767190602141034,3.2765395402353956,3.268,0.607420747298672
Florida,31,Duval,957755,12031,498343,283907,46542,100736,762.192,-81.67196078792469,30.33495370508733,210061.0,203627.0,428734.0,53473.0,628707,19370,46354,175335,140904,63464,122437,60843,0.049,0.041999999999999996,0.086,0.194,0.629,1256.5797069504797,0.5203240912341883,0.2964296714713053,0.04859489117780643,0.10517929950770291,0.447644752572422,0.4899564765099106,0.4749495024887226,3.2619884938453048,3.3120000000000003,0.5077763918702017
Georgia,0,Bulloch-Burke-Candler-Emanuel-Evans-Glascock-Hancock-Jefferson-Jenkins-Johnson-Lincoln-McDuffie-Screven-Taliaferro-Tattnall-Treutlen-Warren-Washington-Wilkes,303531,13031-13033-13043-13107-13109-13125-13141-13163-13165-13167-13181-13189-13251-13265-13267-13283-13301-13303-13317,167964,112873,2366,15241,7817.262,-82.30104659511737,32.900301193498805,65349.0,44711.0,112077.0,38393.3471045791,195916,12383,26862,74459,37632,13649,18248,12683,0.08513967271876678,0.06460232398008771,0.13585709861595685,0.24291303030003522,0.4712954755856897,38.8283007528723,0.5533668719175306,0.3718664650398147,0.007794920452935615,0.05021233416026699,0.3692439981418702,0.5830723520436842,0.39893109201709537,2.6062700340962452,2.950237514454866,0.5937579502089769
Georgia,1,Appling-Atkinson-Bacon-Ben Hill-Coffee-Echols-Irwin-Jeff Davis-Montgomery-Telfair-Toombs-Wheeler,185942,13001-13003-13005-13017-13069-13101-13155-13161-13209-13271-13279-13309,113100,47354,1269,21300,4366.549,-82.74637365708175,31.66802639356081,44999.0,16016.0,61923.0,35891.63616611632,124263,9665,18142,50636,21649,9199,9019,5953,0.1023868034118166,0.10088985812780328,0.16618507921825082,0.2075382753761926,0.42274639403685027,42.58328487782915,0.608254186789429,0.25467081132826364,0.0068247087801572535,0.11455184950145744,0.3330232007830399,0.7266928281898487,0.258643799557515,2.4300877976549735,2.746860418840284,0.7375071703679423
Georgia,2,Chattahoochee-Harris-Lee-Muscogee,271904,13053-13145-13177-13215,131687,105856,6823,19253,1284.7740000000001,-84.67061212388126,32.357402229143645,50219.0,47443.0,100202.0,51382.69112627986,175083,5806,14662,47484,44274,15924,29010,17923,0.06371896698834882,0.06958445995645521,0.0762984987348476,0.2160545449864658,0.5736042500294222,211.63566510530254,0.4843143168177004,0.3893138754854655,0.025093415323055195,0.07080807932211369,0.3685197716841238,0.5011776212051655,0.47347358336160955,3.191263572134359,3.1647620925032367,0.5142122831807663
