state_abbr,county,fips,votes_dem,votes_gop,total_votes
NC,Robeson,37155,18377,20294,39454
NC,Rockingham,37157,14057,26463,41374
NC,Rowan,37159,19208,42388,63078
NC,Rutherford,37161,7451,21694,29764
NC,Sampson,37163,10486,14761,25638
NC,Scotland,37165,7279,6212,13743
NC,Stanly,37167,7008,21788,29451
NC,Stokes,37169,4645,16976,22182
NC,Surry,37171,7438,23495,31663
NC,Swain,37173,2186,3557,5982
NC,Transylvania,37175,6520,10441,17440
NC,Tyrrell,37177,705,968,1700
NC,Union,37179,34051,66265,103596
NC,Vance,37181,12168,7304,19762
NC,Wake,37183,298353,193607,510940
NC,Warren,37185,6668,3302,10123
NC,Washington,37187,3490,2560,6115
NC,Watauga,37189,13953,13521,28769
NC,Wayne,37191,21520,27360,49824
NC,Wilkes,37193,6596,23613,30844
NC,Wilson,37195,19527,17410,37593
NC,Yadkin,37197,3140,13815,17350
NC,Yancey,37199,3181,6367,9808
ND,Adams,38001,216,904,1206
ND,Barnes,38003,1597,3156,5253
ND,Benson,38005,842,927,1940
ND,Billings,38007,58,492,592
ND,Bottineau,38009,734,2482,3437
ND,Bowman,38011,227,1445,1769
ND,Burke,38013,118,879,1031
ND,Burleigh,38015,10865,32499,46874
ND,Cass,38017,31291,39738,78807
ND,Cavalier,38019,476,1356,1969
ND,Dickey,38021,551,1656,2372
ND,Divide,38023,243,860,1187
ND,Dunn,38025,356,1753,2199
ND,Eddy,38027,354,790,1219
ND,Emmons,38029,215,1672,1959
ND,Foster,38031,346,1237,1699
ND,Golden Valley,38033,99,793,942
ND,Grand Forks,38035,10828,16325,29711
ND,Grant,38037,187,1098,1361
ND,Griggs,38039,298,847,1247
ND,Hettinger,38041,168,1032,1261
ND,Kidder,38043,179,1106,1358
ND,LaMoure,38045,500,1475,2115
ND,Logan,38047,112,867,1030
ND,McHenry,38049,474,1991,2687
ND,McIntosh,38051,233,1095,1423
ND,McKenzie,38053,696,3661,4594
ND,McLean,38055,1070,3827,5206
ND,Mercer,38057,616,3715,4564
ND,Morton,38059,3077,11319,15547
ND,Mountrail,38061,1211,2551,4009
ND,Nelson,38063,536,1025,1694
ND,Oliver,38065,119,827,1002
ND,Pembina,38067,681,2204,3093
ND,Pierce,38069,431,1433,2020
ND,Ramsey,38071,1505,3216,5218
ND,Ransom,38073,836,1209,2317
ND,Renville,38075,200,978,1255
ND,Richland,38077,2064,4759,7460
ND,Rolette,38079,2097,1210,3662
ND,Sargent,38081,693,1088,1978
ND,Sheridan,38083,94,644,774
ND,Sioux,38085,758,256,1177
ND,Slope,38087,42,361,427
ND,Stark,38089,1745,9718,12115
ND,Steele,38091,361,537,984
ND,Stutsman,38093,2484,6706,9938
ND,Towner,38095,305,733,1137
ND,Traill,38097,1239,2263,3864
ND,Walsh,38099,1166,2991,4543
ND,Ward,38101,5792,18601,26861
ND,Wells,38103,419,1793,2352
ND,Williams,38105,1722,10033,12529
OH,Adams,39001,2293,8445,11063
OH,Allen,39003,12815,29858,44636
